Activity Period Start Date;GEO Summary;Activity Type Code;Cargo Metici TONs;Year;Month No;Month Name;graphica.com.frequency (1);graphica.com.clusters (1)
"Tue, 01 Dec 2020 00:00:00 GMT";"International";"Deplaned";43559;"2020";48;"December";4;"cluster 1"
"Fri, 01 Jan 2021 00:00:00 GMT";"International";"Deplaned";37831;"2021";4;"January";4;"cluster 1"
"Mon, 01 Feb 2021 00:00:00 GMT";"International";"Deplaned";35433;"2021";8;"February";4;"cluster 1"
"Mon, 01 Mar 2021 00:00:00 GMT";"Domestic";"Deplaned";41234;"2021";12;"March";4;"cluster 1"
"Thu, 01 Apr 2021 00:00:00 GMT";"Domestic";"Deplaned";38606;"2021";16;"April";4;"cluster 1"
"Sat, 01 May 2021 00:00:00 GMT";"Domestic";"Deplaned";43565;"2021";20;"May";4;"cluster 1"
"Tue, 01 Jun 2021 00:00:00 GMT";"Domestic";"Deplaned";44881;"2021";24;"June";4;"cluster 1"
"Thu, 01 Jul 2021 00:00:00 GMT";"Domestic";"Deplaned";47156;"2021";28;"July";4;"cluster 1"
"Sun, 01 Aug 2021 00:00:00 GMT";"Domestic";"Deplaned";46146;"2021";32;"August";4;"cluster 1"
"Wed, 01 Sep 2021 00:00:00 GMT";"Domestic";"Deplaned";45091;"2021";36;"September";4;"cluster 1"
"Fri, 01 Oct 2021 00:00:00 GMT";"Domestic";"Deplaned";49787;"2021";40;"October";4;"cluster 1"
"Mon, 01 Nov 2021 00:00:00 GMT";"Domestic";"Deplaned";48690;"2021";44;"November";4;"cluster 1"
"Wed, 01 Dec 2021 00:00:00 GMT";"Domestic";"Deplaned";50497;"2021";48;"December";4;"cluster 1"
"Sat, 01 Jan 2022 00:00:00 GMT";"Domestic";"Deplaned";41843;"2022";4;"January";4;"cluster 1"
"Tue, 01 Feb 2022 00:00:00 GMT";"Domestic";"Deplaned";40362;"2022";8;"February";4;"cluster 1"
"Tue, 01 Mar 2022 00:00:00 GMT";"Domestic";"Deplaned";49905;"2022";12;"March";4;"cluster 1"
"Fri, 01 Apr 2022 00:00:00 GMT";"Domestic";"Deplaned";43621;"2022";16;"April";4;"cluster 1"
"Sun, 01 May 2022 00:00:00 GMT";"Domestic";"Deplaned";43505;"2022";20;"May";4;"cluster 1"
"Wed, 01 Jun 2022 00:00:00 GMT";"Domestic";"Deplaned";38708;"2022";24;"June";4;"cluster 1"
"Fri, 01 Jul 2022 00:00:00 GMT";"Domestic";"Deplaned";37999;"2022";28;"July";4;"cluster 1"
"Mon, 01 Aug 2022 00:00:00 GMT";"Domestic";"Deplaned";38449;"2022";32;"August";4;"cluster 1"
"Thu, 01 Sep 2022 00:00:00 GMT";"Domestic";"Deplaned";37500;"2022";36;"September";4;"cluster 1"
"Sat, 01 Oct 2022 00:00:00 GMT";"Domestic";"Deplaned";40233;"2022";40;"October";4;"cluster 1"
"Tue, 01 Nov 2022 00:00:00 GMT";"Domestic";"Deplaned";38027;"2022";44;"November";4;"cluster 1"
"Thu, 01 Dec 2022 00:00:00 GMT";"Domestic";"Deplaned";41022;"2022";48;"December";4;"cluster 1"
"Sun, 01 Jan 2023 00:00:00 GMT";"Domestic";"Deplaned";32726;"2023";4;"January";4;"cluster 1"
"Wed, 01 Feb 2023 00:00:00 GMT";"Domestic";"Deplaned";33309;"2023";8;"February";4;"cluster 1"
"Wed, 01 Mar 2023 00:00:00 GMT";"Domestic";"Deplaned";39467;"2023";12;"March";4;"cluster 1"
"Sat, 01 Apr 2023 00:00:00 GMT";"Domestic";"Deplaned";35527;"2023";16;"April";4;"cluster 1"
